order_id,customer_id,order_status,payment_method
169,2106,Canceled,UPI
170,1347,Delivered,Net Banking
171,374,In Transit,Cash on Delivery
172,30,In Transit,Cash on Delivery
173,2143,Delivered,Net Banking
174,4752,Canceled,Loyalty Points
175,4066,In Transit,Net Banking
176,3762,Canceled,UPI
177,2444,Canceled,Cash on Delivery
178,3582,In Transit,Loyalty Points
179,3024,Delivered,Cash on Delivery
180,1958,In Transit,Loyalty Points
181,4420,Canceled,UPI
182,2384,Delivered,Loyalty Points
183,3442,In Transit,UPI
184,4104,In Transit,UPI
185,3430,In Transit,UPI
186,959,Canceled,Net Banking
187,3486,Canceled,Cash on Delivery
188,2925,Delivered,UPI
189,1581,Delivered,Loyalty Points
190,2220,Delivered,Cash on Delivery
191,2332,Delivered,Loyalty Points
192,893,Canceled,Net Banking
193,1030,Delivered,Loyalty Points
194,1245,In Transit,Cash on Delivery
195,3223,Delivered,UPI
196,4994,Canceled,Cash on Delivery
197,2921,In Transit,Net Banking
198,1614,In Transit,Loyalty Points
199,2586,Canceled,Cash on Delivery
200,2602,Canceled,UPI
201,2361,In Transit,Net Banking
202,4525,In Transit,Loyalty Points
203,435,In Transit,Net Banking
204,4880,Canceled,Cash on Delivery
205,4659,Canceled,UPI
206,4205,Canceled,Loyalty Points
207,3743,Canceled,Net Banking
208,675,In Transit,Net Banking
209,542,Delivered,Cash on Delivery
210,1792,In Transit,Cash on Delivery
211,2283,Delivered,Net Banking
212,2345,Canceled,Loyalty Points
213,2695,Canceled,Net Banking
214,1376,Delivered,Net Banking
215,3909,In Transit,Cash on Delivery
216,821,In Transit,Loyalty Points
217,2161,Delivered,Net Banking
218,4957,Canceled,Loyalty Points
219,3684,In Transit,Net Banking
220,1997,In Transit,Cash on Delivery
221,2357,Delivered,Net Banking
222,329,Canceled,Net Banking
223,4750,Canceled,Net Banking
224,3455,Canceled,UPI
225,2738,Delivered,Cash on Delivery
226,2227,In Transit,Net Banking
227,3134,In Transit,UPI
228,2275,Canceled,Cash on Delivery
229,4956,Canceled,UPI
230,2220,Canceled,Net Banking
231,827,Canceled,UPI
232,3498,Delivered,Cash on Delivery
233,178,Canceled,Cash on Delivery
234,4258,Delivered,UPI
235,4060,In Transit,Net Banking
236,9,In Transit,Loyalty Points
237,2087,Delivered,Net Banking
238,2190,Canceled,Cash on Delivery
239,571,In Transit,Cash on Delivery
240,4631,Canceled,UPI
241,2281,Canceled,Loyalty Points
242,2294,Delivered,Loyalty Points
243,1773,Canceled,Net Banking
244,1864,Canceled,UPI
245,1807,Canceled,Cash on Delivery
246,2265,In Transit,Net Banking
247,2757,Canceled,Loyalty Points
248,3661,Canceled,Loyalty Points
249,1357,In Transit,Loyalty Points
250,3792,In Transit,Loyalty Points
251,2855,Delivered,Cash on Delivery
252,2118,Delivered,UPI
253,3129,In Transit,Cash on Delivery
254,397,In Transit,Net Banking
255,4334,Canceled,Loyalty Points
256,4957,In Transit,Cash on Delivery
257,2211,Canceled,Cash on Delivery
258,1960,In Transit,Net Banking
259,4814,Delivered,Net Banking
260,431,In Transit,UPI
261,2813,Canceled,Cash on Delivery
262,4748,Delivered,Net Banking
263,2147,Canceled,Cash on Delivery
264,3676,Delivered,Loyalty Points
265,184,In Transit,Loyalty Points
266,4506,Delivered,UPI
267,642,In Transit,Net Banking
268,2085,In Transit,Net Banking
269,231,In Transit,Net Banking
270,1132,In Transit,UPI
271,299,Delivered,UPI
272,3623,Delivered,Cash on Delivery
273,264,Delivered,Cash on Delivery
274,3420,In Transit,UPI
275,194,Canceled,Net Banking
276,1959,Canceled,Net Banking
277,3498,In Transit,Loyalty Points
278,1754,In Transit,Loyalty Points
279,3978,Canceled,Net Banking
280,1099,Canceled,Loyalty Points
281,3403,Canceled,Cash on Delivery
282,4248,Canceled,Loyalty Points
283,2930,In Transit,Net Banking
284,4989,Delivered,Loyalty Points
285,397,Delivered,UPI
286,2011,In Transit,Cash on Delivery
287,2372,Delivered,Net Banking
288,2396,In Transit,Loyalty Points
289,4277,Canceled,UPI
290,4088,Delivered,UPI
291,90,Delivered,Loyalty Points
292,1750,Delivered,UPI
293,1440,In Transit,Loyalty Points
294,1665,In Transit,Net Banking
295,2473,In Transit,Cash on Delivery
296,2983,Delivered,Cash on Delivery
297,3836,In Transit,Net Banking
298,615,Delivered,Net Banking
299,1141,Delivered,Loyalty Points
300,994,Delivered,Cash on Delivery
301,2304,In Transit,Cash on Delivery
302,2141,In Transit,Cash on Delivery
303,1749,Canceled,Net Banking
304,2915,In Transit,Net Banking
305,1625,Delivered,Cash on Delivery
306,2663,In Transit,Net Banking
307,3155,Canceled,Cash on Delivery
308,3853,Delivered,Net Banking
309,3271,In Transit,Cash on Delivery
310,4595,Canceled,Loyalty Points
311,3464,Delivered,Net Banking
312,193,In Transit,Loyalty Points
313,1589,Delivered,Loyalty Points
314,3065,Canceled,Loyalty Points
315,244,Canceled,Loyalty Points
316,2605,Delivered,Loyalty Points
317,4800,Canceled,UPI
318,1648,In Transit,UPI
319,2324,Canceled,Loyalty Points
320,835,In Transit,UPI
321,4011,Canceled,UPI
322,4243,Delivered,Net Banking
323,1705,Delivered,UPI
324,1163,In Transit,UPI
325,4240,Canceled,Loyalty Points
326,372,Canceled,Loyalty Points
327,3151,Delivered,Loyalty Points
328,4402,In Transit,Cash on Delivery
329,2402,In Transit,Loyalty Points
330,735,In Transit,Net Banking
331,574,Canceled,Loyalty Points
332,3033,In Transit,UPI
333,4443,Canceled,UPI
334,2975,Delivered,Cash on Delivery
335,2881,In Transit,Loyalty Points
336,1704,Delivered,Net Banking
337,884,Delivered,Cash on Delivery
338,892,Delivered,Loyalty Points
339,1968,Delivered,UPI
340,1027,Canceled,Cash on Delivery
341,1772,Delivered,Cash on Delivery
342,4904,In Transit,UPI
343,2785,Canceled,Net Banking
344,2157,In Transit,Net Banking
345,4209,Canceled,Loyalty Points
346,1371,In Transit,Cash on Delivery
347,3190,In Transit,Net Banking
348,3166,In Transit,UPI
349,2600,In Transit,Loyalty Points
350,4859,Canceled,UPI
351,1584,Canceled,Loyalty Points
352,4572,In Transit,Cash on Delivery
353,1317,Delivered,Net Banking
354,3687,Delivered,Net Banking
355,2677,In Transit,Net Banking
356,110,In Transit,UPI
357,92,Delivered,Loyalty Points
358,2237,Delivered,UPI
359,4172,Delivered,Cash on Delivery
360,4369,In Transit,Net Banking
361,3211,In Transit,Net Banking
362,4880,Delivered,Net Banking
363,3101,Delivered,Loyalty Points
364,2581,Canceled,Net Banking
365,302,Canceled,Loyalty Points
366,2837,In Transit,Cash on Delivery
367,1599,Delivered,Cash on Delivery
368,2710,Canceled,Net Banking
369,4369,Canceled,Net Banking
370,29,Canceled,Net Banking
371,2997,Canceled,UPI
372,3014,Delivered,Cash on Delivery
373,3508,In Transit,Loyalty Points
374,4758,In Transit,Net Banking
375,727,In Transit,Cash on Delivery
376,3079,Canceled,Loyalty Points
377,614,Delivered,Net Banking
378,4446,Canceled,UPI
379,2689,In Transit,Net Banking
380,506,Canceled,Cash on Delivery
381,3062,Delivered,Net Banking
382,3660,In Transit,Loyalty Points
383,2255,Canceled,Cash on Delivery
384,1829,Canceled,Cash on Delivery
385,4313,Canceled,Loyalty Points
386,22,In Transit,Net Banking
387,375,Canceled,Loyalty Points
388,3701,Delivered,Loyalty Points
389,4636,Delivered,Cash on Delivery
390,2073,Delivered,Loyalty Points
391,1353,Delivered,UPI
392,2703,In Transit,Net Banking
393,4983,In Transit,Loyalty Points
394,2093,Delivered,Net Banking
395,3341,Delivered,Cash on Delivery
396,421,In Transit,Net Banking
397,306,Canceled,Loyalty Points
398,1003,Canceled,UPI
399,3406,Canceled,Loyalty Points
400,958,Delivered,Loyalty Points
401,3226,Delivered,Net Banking
402,3431,Delivered,Loyalty Points
403,611,In Transit,Loyalty Points
404,197,Delivered,Cash on Delivery
405,2155,In Transit,Loyalty Points
406,3826,Delivered,Cash on Delivery
407,4999,In Transit,Cash on Delivery
408,181,In Transit,Loyalty Points
409,3123,In Transit,Loyalty Points
410,3636,Canceled,Cash on Delivery
411,4701,Canceled,Cash on Delivery
412,36,Delivered,Cash on Delivery
413,1829,In Transit,Cash on Delivery
414,525,Canceled,Cash on Delivery
415,1202,Delivered,UPI
416,2865,In Transit,Cash on Delivery
417,743,In Transit,Cash on Delivery
418,4439,Delivered,UPI
419,4379,Canceled,Cash on Delivery
420,3105,In Transit,Cash on Delivery
421,3641,Delivered,UPI
422,2607,Delivered,Net Banking
423,3301,In Transit,UPI
424,3799,Delivered,Cash on Delivery
425,910,Delivered,Loyalty Points
426,3778,Canceled,Net Banking
427,2429,Delivered,UPI
428,4697,Delivered,Net Banking
429,107,Canceled,Net Banking
430,21,Delivered,Net Banking
431,909,In Transit,Loyalty Points
432,1480,In Transit,UPI
433,4174,In Transit,Loyalty Points
434,349,Delivered,Cash on Delivery
435,1279,Delivered,Loyalty Points
436,3731,Delivered,Net Banking
437,4399,Delivered,Loyalty Points
438,4526,Canceled,Loyalty Points
439,1695,Canceled,Cash on Delivery
440,344,Canceled,Loyalty Points
441,277,Canceled,Cash on Delivery
442,2427,Canceled,Loyalty Points
443,3000,Delivered,UPI
444,3142,In Transit,UPI
445,900,Canceled,Loyalty Points
446,2432,Delivered,Net Banking
447,335,Canceled,Net Banking
448,192,Delivered,Loyalty Points
449,2379,Canceled,Loyalty Points
450,4072,Delivered,UPI
451,1875,In Transit,Loyalty Points
452,4544,In Transit,Loyalty Points
453,4369,In Transit,UPI
454,4228,In Transit,Loyalty Points
455,4055,In Transit,Cash on Delivery
456,1031,In Transit,Cash on Delivery
457,4224,Canceled,UPI
458,2676,In Transit,Net Banking
459,2438,In Transit,Net Banking
460,274,Delivered,Cash on Delivery
461,4965,Canceled,Loyalty Points
462,1086,Canceled,Loyalty Points
463,4261,Delivered,Loyalty Points
464,4336,Canceled,UPI
465,3203,Canceled,Loyalty Points
466,3518,Canceled,UPI
467,1381,In Transit,Cash on Delivery
468,1108,Delivered,Cash on Delivery
469,109,Canceled,UPI
470,4263,Delivered,UPI
471,2160,Canceled,Loyalty Points
472,99,Canceled,Cash on Delivery
473,1944,Canceled,Cash on Delivery
474,1471,Canceled,Loyalty Points
475,1026,In Transit,Loyalty Points
476,2271,In Transit,Loyalty Points
477,2468,Canceled,Net Banking
478,4669,Delivered,Net Banking
479,492,In Transit,UPI
480,2253,In Transit,Cash on Delivery
481,4030,Delivered,UPI
482,2650,Canceled,Cash on Delivery
483,1067,In Transit,UPI
484,1490,Canceled,Loyalty Points
485,4581,Canceled,UPI
486,896,In Transit,UPI
487,2362,Canceled,Cash on Delivery
488,844,Delivered,Net Banking
489,4095,Canceled,Loyalty Points
490,459,In Transit,UPI
491,3214,Delivered,Loyalty Points
492,2324,In Transit,Loyalty Points
493,631,In Transit,Cash on Delivery
494,3514,Canceled,Cash on Delivery
495,2773,In Transit,Cash on Delivery
496,27,In Transit,Loyalty Points
497,2838,Canceled,Net Banking
498,4296,In Transit,Cash on Delivery
499,432,In Transit,Net Banking
500,164,Canceled,Loyalty Points
501,2473,Delivered,Loyalty Points
502,1016,In Transit,Net Banking
503,1201,In Transit,Loyalty Points
504,3965,In Transit,Cash on Delivery
505,2177,Canceled,Cash on Delivery
506,1961,Canceled,Loyalty Points
507,2821,Canceled,UPI
508,253,Canceled,Net Banking
509,2625,Delivered,Net Banking
510,1852,Canceled,Cash on Delivery
511,741,Delivered,Cash on Delivery
512,3810,Canceled,Net Banking
513,543,Canceled,UPI
514,3687,Canceled,Cash on Delivery
515,1322,Canceled,UPI
516,1203,In Transit,Loyalty Points
517,1031,In Transit,Net Banking
518,2008,Delivered,Net Banking
519,3575,Canceled,UPI
520,4843,Delivered,Loyalty Points
521,2320,Canceled,Net Banking
522,1384,Delivered,Cash on Delivery
523,1480,Delivered,Net Banking
524,2700,Delivered,Loyalty Points
525,1305,In Transit,UPI
526,3417,In Transit,Cash on Delivery
527,3590,In Transit,UPI
528,132,In Transit,Cash on Delivery
529,2128,Canceled,Cash on Delivery
530,2563,Delivered,Cash on Delivery
531,4122,In Transit,Cash on Delivery
532,3614,In Transit,Loyalty Points
533,4967,Canceled,Loyalty Points
534,2663,In Transit,Loyalty Points
535,1850,Canceled,Cash on Delivery
536,2546,Delivered,Net Banking
537,2114,In Transit,Net Banking
538,195,In Transit,Net Banking
539,929,Delivered,UPI
540,2423,Delivered,Net Banking
541,2512,Delivered,Cash on Delivery
542,2956,Delivered,UPI
543,1971,Delivered,Loyalty Points
544,3244,Delivered,UPI
545,4471,Canceled,Cash on Delivery
546,293,Delivered,Cash on Delivery
547,2060,Canceled,UPI
548,2570,Delivered,Cash on Delivery
549,1751,Delivered,Loyalty Points
550,1046,In Transit,Loyalty Points
551,4523,Delivered,Loyalty Points
552,4994,In Transit,Cash on Delivery
553,2177,Canceled,UPI
554,958,In Transit,Net Banking
555,4089,In Transit,Loyalty Points
556,3260,Canceled,Loyalty Points
557,1091,In Transit,Cash on Delivery
558,2389,Delivered,UPI
559,3117,In Transit,Net Banking
560,3067,In Transit,Cash on Delivery
561,3130,Delivered,UPI
562,4465,Delivered,Net Banking
563,4199,Delivered,UPI
564,1527,In Transit,Loyalty Points
565,4818,Canceled,Loyalty Points
566,1273,In Transit,Net Banking
567,3405,Canceled,UPI
568,4756,In Transit,Cash on Delivery
569,1070,Canceled,Net Banking
570,3456,Canceled,Loyalty Points
571,466,Canceled,Net Banking
572,846,Delivered,Loyalty Points
573,4901,Canceled,UPI
574,649,Delivered,UPI
575,4360,In Transit,Loyalty Points
576,2062,Delivered,Net Banking
577,472,Canceled,Net Banking
578,3447,Delivered,Net Banking
579,4612,Delivered,Net Banking
580,3820,Canceled,UPI
581,1282,Canceled,Loyalty Points
582,1770,Canceled,UPI
583,2329,Canceled,Cash on Delivery
584,4166,Canceled,Net Banking
585,2956,In Transit,Loyalty Points
586,117,In Transit,Cash on Delivery
587,1956,In Transit,Cash on Delivery
588,3840,In Transit,Cash on Delivery
589,3045,Delivered,Cash on Delivery
590,3726,Canceled,Loyalty Points
591,4984,In Transit,UPI
592,2933,Delivered,Net Banking
593,466,In Transit,Cash on Delivery
594,1228,Canceled,Cash on Delivery
595,1248,In Transit,UPI
596,3675,Delivered,Cash on Delivery
597,46,Delivered,UPI
598,4025,Delivered,UPI
599,572,Canceled,Cash on Delivery
600,1635,Canceled,Cash on Delivery
601,2526,Canceled,Loyalty Points
602,2351,In Transit,Loyalty Points
603,1789,Delivered,Net Banking
604,2338,In Transit,UPI
605,3905,Canceled,Net Banking
606,4963,In Transit,Cash on Delivery
607,3205,In Transit,Loyalty Points
608,4298,Canceled,Cash on Delivery
609,3732,Delivered,UPI
610,2669,Delivered,Net Banking
611,1404,In Transit,Net Banking
612,4054,Canceled,UPI
613,4780,In Transit,Cash on Delivery
614,2661,In Transit,Loyalty Points
615,1761,In Transit,Loyalty Points
616,3165,In Transit,Cash on Delivery
617,4694,In Transit,Loyalty Points
618,3707,Delivered,UPI
619,4318,Delivered,UPI
620,747,Delivered,Net Banking
621,3314,Delivered,UPI
622,3468,Delivered,UPI
623,1437,In Transit,Cash on Delivery
624,4743,In Transit,Cash on Delivery
625,437,Canceled,Loyalty Points
626,3197,Delivered,Loyalty Points
627,1063,Delivered,UPI
628,1409,Delivered,Loyalty Points
629,2246,In Transit,UPI
630,2906,In Transit,Cash on Delivery
631,4504,Delivered,Cash on Delivery
632,249,Delivered,Cash on Delivery
633,233,Canceled,Cash on Delivery
634,4459,Delivered,UPI
635,166,Delivered,Net Banking
636,1785,In Transit,Cash on Delivery
637,371,Delivered,Cash on Delivery
638,1951,Delivered,UPI
639,1612,In Transit,Cash on Delivery
640,402,In Transit,Loyalty Points
641,2859,Delivered,UPI
642,2375,Canceled,Net Banking
643,1064,Canceled,Net Banking
644,1216,Canceled,UPI
645,1196,In Transit,Net Banking
646,194,Delivered,Net Banking
647,4770,In Transit,UPI
648,901,Delivered,Net Banking
649,882,In Transit,UPI
650,4847,Delivered,Net Banking
651,1918,In Transit,Net Banking
652,1330,Delivered,Net Banking
653,1335,Canceled,Net Banking
654,1418,Canceled,UPI
655,2928,In Transit,Net Banking
656,757,Delivered,Cash on Delivery
657,4927,In Transit,Cash on Delivery
658,2604,In Transit,Loyalty Points
659,3962,In Transit,UPI
660,394,Canceled,Loyalty Points
661,4779,Canceled,Cash on Delivery
662,3142,Canceled,Loyalty Points
663,3890,Canceled,UPI
664,4505,Delivered,Loyalty Points
665,918,In Transit,Cash on Delivery
666,2578,Canceled,Net Banking
667,4200,Canceled,Loyalty Points
668,3186,Delivered,Loyalty Points
669,4596,In Transit,Loyalty Points
670,2795,Delivered,Net Banking
671,3101,Delivered,Loyalty Points
672,1315,In Transit,Cash on Delivery
673,407,Canceled,UPI
674,3081,Canceled,UPI
675,864,Delivered,Loyalty Points
676,887,Delivered,UPI
677,4226,Delivered,Loyalty Points
678,4347,Delivered,Cash on Delivery
679,50,Canceled,UPI
680,4524,In Transit,UPI
681,2954,Canceled,Net Banking
682,4868,Canceled,Net Banking
683,4081,In Transit,Loyalty Points
684,1728,Delivered,Loyalty Points
685,4215,Canceled,UPI
686,2316,Canceled,Cash on Delivery
687,4338,Canceled,Cash on Delivery
688,3481,In Transit,Net Banking
689,1061,Canceled,Net Banking
690,1963,Canceled,Net Banking
691,2620,Canceled,Cash on Delivery
692,3456,Canceled,UPI
693,1919,In Transit,Cash on Delivery
694,4058,Delivered,UPI
695,1697,Delivered,Cash on Delivery
696,258,Canceled,UPI
697,3565,In Transit,Net Banking
698,4175,Canceled,Loyalty Points
699,2465,Canceled,Cash on Delivery
700,1766,In Transit,UPI
701,342,In Transit,Net Banking
702,4980,In Transit,Loyalty Points
703,3575,Delivered,Loyalty Points
704,2423,Canceled,Cash on Delivery
705,1679,Delivered,Cash on Delivery
706,4467,Canceled,UPI
707,4570,Delivered,Net Banking
708,4082,Delivered,UPI
709,4824,Canceled,Net Banking
710,399,In Transit,Cash on Delivery
711,261,Delivered,Cash on Delivery
712,2436,Delivered,Net Banking
713,3589,In Transit,Loyalty Points
714,37,Canceled,Net Banking
715,1020,In Transit,Net Banking
716,3611,Canceled,Net Banking
717,237,Canceled,UPI
718,572,Delivered,UPI
719,3307,In Transit,UPI
720,2021,Delivered,Net Banking
721,1782,Delivered,Net Banking
722,2832,Delivered,Net Banking
723,784,In Transit,Cash on Delivery
724,513,In Transit,Cash on Delivery
725,331,Canceled,Loyalty Points
726,688,Canceled,Net Banking
727,4817,Delivered,Cash on Delivery
728,1712,In Transit,Loyalty Points
729,392,Canceled,Loyalty Points
730,437,Canceled,Cash on Delivery
731,4668,Canceled,UPI
732,3741,Canceled,Cash on Delivery
733,4113,Canceled,UPI
734,2932,Canceled,Loyalty Points
735,60,Canceled,Cash on Delivery
736,73,Delivered,UPI
737,2127,Canceled,UPI
738,4911,Canceled,Cash on Delivery
739,904,Canceled,Cash on Delivery
740,1663,In Transit,Cash on Delivery
741,297,Delivered,Cash on Delivery
742,2193,Delivered,UPI
743,3348,Canceled,Net Banking
744,417,In Transit,Net Banking
745,3055,Delivered,Loyalty Points
746,3308,Delivered,Loyalty Points
747,1134,In Transit,UPI
748,2885,Canceled,Cash on Delivery
749,4843,Delivered,Cash on Delivery
750,338,Delivered,Loyalty Points
751,2562,In Transit,UPI
752,3886,Canceled,UPI
753,1860,Canceled,UPI
754,4517,Delivered,Net Banking
755,4648,Canceled,UPI
756,1866,Delivered,UPI
757,4037,In Transit,Net Banking
758,3612,In Transit,Cash on Delivery
759,4031,In Transit,Loyalty Points
760,3235,In Transit,Cash on Delivery
761,4199,In Transit,Loyalty Points
762,2982,Canceled,Cash on Delivery
763,377,Delivered,Loyalty Points
764,2060,Canceled,Cash on Delivery
765,3430,Canceled,Cash on Delivery
766,3717,Canceled,Cash on Delivery
767,1649,Delivered,UPI
768,4941,In Transit,Net Banking
769,2253,In Transit,Cash on Delivery
770,763,Delivered,Cash on Delivery
771,1132,Delivered,Net Banking
772,3447,In Transit,Loyalty Points
773,4552,Delivered,Loyalty Points
774,2882,Canceled,Cash on Delivery
775,4508,Canceled,UPI
776,3922,Delivered,UPI
777,4580,Canceled,Cash on Delivery
778,3791,Canceled,UPI
779,4661,Delivered,UPI
780,4325,Delivered,UPI
781,2848,Delivered,Net Banking
782,3027,Canceled,Net Banking
783,1872,In Transit,Net Banking
784,245,Canceled,Cash on Delivery
785,3728,Delivered,Loyalty Points
786,3834,Delivered,Cash on Delivery
787,3129,In Transit,UPI
788,2677,Canceled,Loyalty Points
789,4606,In Transit,Cash on Delivery
790,4854,In Transit,UPI
791,1995,Delivered,UPI
792,280,Canceled,Loyalty Points
793,4637,Canceled,UPI
794,1957,In Transit,Net Banking
795,2862,Delivered,Cash on Delivery
796,3171,In Transit,Net Banking
797,531,Canceled,UPI
798,3850,Canceled,Loyalty Points
799,1387,Delivered,Net Banking
800,4174,In Transit,Loyalty Points
801,2709,Canceled,Loyalty Points
802,1905,In Transit,UPI
803,4672,In Transit,UPI
804,1612,In Transit,Net Banking
805,4456,Canceled,Cash on Delivery
806,1928,Delivered,Loyalty Points
807,1048,Delivered,UPI
808,2119,Delivered,Loyalty Points
809,3411,Delivered,Net Banking
810,4036,Delivered,Loyalty Points
811,163,Delivered,Loyalty Points
812,2399,In Transit,Net Banking
813,2487,Delivered,Net Banking
814,4252,Canceled,Cash on Delivery
815,810,In Transit,UPI
816,2578,In Transit,UPI
817,1127,Canceled,Net Banking
818,3094,In Transit,Loyalty Points
819,3742,In Transit,Loyalty Points
820,1669,Delivered,Net Banking
821,1846,In Transit,Net Banking
822,750,Canceled,UPI
823,406,Canceled,Net Banking
824,1049,Canceled,Cash on Delivery
825,971,In Transit,Loyalty Points
826,2171,Delivered,Net Banking
827,4626,In Transit,Net Banking
828,2507,Delivered,UPI
829,2637,Delivered,Loyalty Points
830,3918,In Transit,Net Banking
831,1842,In Transit,UPI
832,3817,Canceled,Cash on Delivery
833,1697,In Transit,Cash on Delivery
834,1735,Delivered,Cash on Delivery
835,3014,Delivered,Net Banking
836,1001,Delivered,Loyalty Points
837,643,Canceled,Cash on Delivery
838,4638,Canceled,Net Banking
839,512,In Transit,Net Banking
